id,type,status,priority,blocks,owner,question,why_it_matters,source_evidence,affected_documents,affected_stage,resolution,date_resolved
D-35,decision,open,P1,one workflow branch,,"When may Cleanup be performed, by whom, and what must be archived first?","Destructive, not undoable, reduces registration history at the moment the project is handed on",TBC 26466,Manual; SOP; Office,cleanup,,
D-36,decision,open,P1,nothing,,"The export release gate - is the pre-export trajectory-node confirmation mandatory, and may exports be made with Export timestamps enabled before T18 resolves?",Registration does not reach the cloud until Update Scans runs; a documented export option may substitute reprocessed data,TBC 22638; TBC 23339; TBC 22501,Manual; SOP; Office,export,,
D-38,decision,open,P2,nothing,,"Deliverable specification - standard formats, which export path produces each, and default scaling",Ground scaling does not record its own scale factor; grid writes a sidecar that does,TBC 11769; TBC 27279,Manual; SOP; Office,export,,
D-39,decision,open,P1,nothing,,What is the corridor continuity inspection method and coverage?,"Must detect a degraded stretch shorter than the sampling interval, which rules out sparse spot checks",—,SOP; Office,QC,,
D-41,decision,open,P1,collection,,"How many passes, in what pattern, by roadway type?",Two of three degraded-GNSS remedies require overlap collected on the day,TBC 25096; TBC 28972,SOP; Field,mission planning,,
D-42,decision,open,P1,collection,,Base station strategy and maximum baseline?,Field logistics on every mission. Interacts with D-19,TBC 25943,Manual; SOP; Field,mission planning,,
D-43,decision,open,P2,nothing,,"Field operating rules - wet-weather go/no-go with operator stand-down authority, night collection, collection speed by deliverable type, free-space margin",An operator who must phone for permission will drive. Trimble publishes speed maxima and no relation to deliverable quality,"MX60 UG Rev B p.49,53; TMR 9.1",Manual; SOP; Field,acquisition,,
D-46,decision,open,P1,nothing,,"Where are lever arms, the Vehicle Preset and the installation configuration recorded and verified?","Entered once, used every mission. An error is systematic, invisible, and persists until someone re-measures",MX60 UG Rev B p.68; TBC 25943,SOP; Field,field preparation,,
D-49,decision,open,P1,nothing,,"Field close-out - what the mission field record contains, what coverage verification happens before leaving site, what triggers a re-drive and who decides",No software produces the field record. Missed overlap removes office options irrecoverably,—,SOP; Field,field QC,,
D-52,decision,open,P1,nothing,,"Offload, verification and backup procedure",The only irreversible step in the workflow,MX60 UG Rev B p.10,SOP; Field; Office,transfer,,
D-53,decision,open,P2,nothing,,"Folder structure, naming and storage location",Several provenance artefacts are small files loose in a project folder,TBC 25943; TBC 22905,SOP; Field; Office,transfer,,
D-54,decision,open,P3,nothing,,Is a chain-of-custody record required?,The deliverable may not be able to speak for itself,—,SOP; Field,transfer,,
D-55,decision,open,P1,nothing,,"Capture and retention - what is retained, where, for how long, by whom, including Backup SBET Next to MXDB, Results of Scan Generation, and the calibration JSON",Tier 1 is a few hundred kilobytes. Tier 3 is hundreds of GB and determines whether reprocessing is ever possible,TBC 25943; TBC 22499; TBC 22920,Manual; SOP; Office,archive,,
T18,test,open,P1,nothing,,"Export the same registered run twice, timestamps off and on, and compare point geometry. Does reprocessing from raw reflect the registered trajectory?",The highest-priority test. A documented export option may deliver data that was never the data that was checked,TBC 23339; TBC 22501,Manual; SOP; Office,export,,
T28,test,open,P1,nothing,,"Does Cleanup delete sbet_*_reg_####.out from storage, or only remove the project objects?",Determines what must be archived before Cleanup. Distinguish project object retention from underlying file retention,TBC 26466; TBC 22905,Manual; SOP; Office,cleanup,,
T29,test,open,P1,nothing,,Establish the reliable export-state verification method for each export path,How an export dialog resolves its selection is not documented,TBC 22638; TBC 11769,Manual; SOP; Office,export,,
T3,test,open,P1,nothing,,Does Reflective Panels remove legitimate retro-reflective returns from signs and line marking?,On sign and retroreflectivity work those returns are the deliverable,TBC 22499,Manual; SOP; Office,scan generation,,
T15,test,open,P1,nothing,,"Which registration type, when? Test Global, Local and Global-then-Local with independent checks",No selection rule published. Global-then-Local gets no guidance and appears in every Trimble screenshot,TBC 22905,Manual; SOP; Office,registration,,
T25,test,open,P1,nothing,,"Which feature types are fit for horizontal control, vertical control, or both, at MX60 density and incidence?",Will shape control design more than any software setting,TBC 22905,Manual; SOP,project setup,,
T1,test,open,P2,nothing,,"Filter selection and defaults - Default vs High Quality, Isolated Points default state, Range Max against useful range, Fog and Sun when conditions did not occur",The largest block of untested settings. Trimble text contradicts itself on Isolated Points,TBC 22499,Manual; SOP; Office,scan generation,,
T6,test,open,P3,nothing,,Colouriser forward vs backward camera preference and its effect on fringing,No selection rule given,TBC 22499,Manual; Office,scan generation,,
T7,test,open,P2,nothing,,Registration Auto-Saving default state,Targets.csv is the registration field book and a wrong dialog answer empties it permanently,TBC 22905; TBC 21243-1,Manual; SOP; Office,registration,,
T9,test,open,P2,nothing,,Target-Bundle Adjustment - test both states with independent checks,"Checking it makes the adjustment coarser, 250 m against 70 m; the name reads backwards",TBC 22905,Manual; SOP; Office,registration,,
T10,test,open,P2,nothing,,"Which Parametrix coordinate systems does POSPac recognise directly, and which trigger the ITRF00 path?","Answerable once, then known",TBC 25943,Manual; SOP; Office,trajectory processing,,
T11,test,open,P3,nothing,,Multipath default Medium on open-sky corridors,Medium is described as being for degraded coverage,TBC 25943,Manual; SOP; Office,trajectory processing,,
T12,test,open,P3,nothing,,DMI scale factor SD default 5 percent - was the wheel actually measured?,Trimble says set it to 100 percent if unknown,TBC 25943,Manual; SOP; Field; Office,trajectory processing,,
T13,test,open,P3,nothing,,LiDAR QC settings - range default 3-100 m and Lasers = All,The Lasers default contradicts the guidance printed beside it,TBC 28972,Manual; SOP; Office,trajectory processing,,
T16,test,open,P2,nothing,,Working cutting plane thickness for the visual checks,Trimble screenshots show 0.030 and 5.000 with no basis. Too thick buries a real offset,TBC 24886; TBC 25096,Manual; SOP; Office,QC,,
T17,test,open,P2,nothing,,Sample points random sampling in the classified LAS exporter,A destructive thinning with no documented spatial rule; default state not stated,TBC 27279,Manual; Office,export,,
T19,test,open,P2,nothing,,"Which trajectory travels? Publish a registered run to TRCPS and export the same run to TMX, and inspect what arrives",Both paths carry trajectory geometry; neither states which trajectory,TBC 22501; TBC 29527,Manual; SOP; Office,export,,
T21,test,open,P2,nothing,,"Register a mission, run a Mission Report, and look. Does it contain the signed GCP residuals?",The 2025.21 release note says residuals are in the report; the Mission Report topic does not mention them,TBC RN 2025.21; TBC 23991_1,Manual; SOP; Office,QC,,
T22,test,open,P2,nothing,,"Export a LAS and inspect the file directly - header fields, VLRs, sidecar contents",Trimble topics do not enumerate LAS headers. Something undocumented may be written,TBC 11769,Manual; SOP; Office,export,,
T23,test,open,P2,nothing,,Draw a Point Cloud tab selection across scans from two trajectories and observe,"Whether TBC warns, prevents or silently permits is not stated",TBC 11769,Manual; SOP; Office,export,,
T24,test,open,P2,nothing,,How much run overlap is enough for run-to-run registration?,Trimble states the requirement qualitatively only,TBC 25096,Manual; SOP; Office,registration,,
T26,test,open,P2,nothing,,Does exported imagery inherit or otherwise reflect a registration adjustment?,Imagery is positioned from the trajectory; nothing states whether it is recomputed,TBC 22638,Manual; SOP; Office,QC,,
T27,test,open,P2,nothing,,"What imagery streams actually exist on the MX60, and which are exposed through TBC export?",The MX60 export tree shows no Planar cameras while the side-images option persists,TBC 23339; TBC 22501,Manual; Office,QC,,
T30,test,open,P3,nothing,,Attempt both reconstruction paths - timestamp matching and trajectory geometry comparison - on a dataset with two candidate trajectories,Neither has been attempted; both are the fallback if provenance is queried,TBC 23339; TBC 22501,Manual; SOP; Office,provenance,,
V-1,vendor,open,P1,nothing,,"When Export timestamps causes reprocessing from raw data, which trajectory is used?",A direct yes/no question with the largest consequence in the workflow,TBC 23339; TBC 22501,Manual,export,,
V-4,vendor,open - part answered,P1,nothing,,"Confirm the configuration from the serial number, and state whether GAMS and DMI are fitted and which rack is on the vehicle","Confirms the owner's statement that this is a Premium, and answers the remainder of D-2. Imagery and accuracy commitments now rest on that statement until it is checked","MX60 UG Rev B p.12,68",Manual; SOP,system,"Configuration stated by the system owner 2026-09-19 as MX60 Premium - not yet checked against the serial number. GAMS, DMI and rack still unanswered",2026-09-19 (part)
V-10,vendor,open,P1,nothing,,Which trajectory do TMX export and Publish to TRCPS send when a run has both an imported and a registered trajectory?,Both carry trajectory geometry; neither says which,TBC 22501; TBC 29527,Manual; Office,export,,
V-12,vendor,open,P1,nothing,,"Does any TBC export write the source trajectory into a LAS header, VLR or sidecar?",The one provenance question documentation cannot answer,TBC 11769,Manual,provenance,,
V-13,vendor,open,P1,nothing,,Does removing and refitting the Sensor Unit disturb the calibration? What symptoms indicate drift?,Determines whether calibration is periodic or routine,MX60 UG Rev B p.7,Manual,calibration,,
V-2,vendor,open,P2,nothing,,"Is the MX60 laser control presented as Measurement Prog plus Line Speed, or a combined Laser Mode? Which TMI version applies?",The Quick Start Guide and TMI Rev L disagree - CONFLICT-005,MX60 QSG Rev B p.10; TMI UG Rev L p.29,Manual; Field,acquisition,,
V-3,vendor,open,P2,nothing,,Which TBC version is installed on our workstation?,"Two version-dependent behaviours, both legacy - 5.21 and 5.80 predate the oldest published release note",TBC 24886; TBC 27248,Manual,system,,
V-5,vendor,open,P2,nothing,,Accessory manuals not held - Trimble GAMS Antenna Kit and DMI Installation and Operation Manuals,Needed for the lever-arm procedure if fitted. The DMI manual has the scale factor for the measured wheel diameter,"MX60 UG Rev B p.42,43",Manual; Field,field preparation,,
V-7,vendor,open,P3,nothing,,"Does the Lateral Range Limit affect accuracy, or is it purely a data-volume tool?",Undocumented,TMI UG Rev L p.29,Manual; Field,acquisition,,
V-8,vendor,open,P2,nothing,,"What is the MX60 actual camera complement, and which streams are exposed through TBC export?",Pairs with T27,TBC 23339; TBC 22501,Manual,system,,
V-9,vendor,open,P2,nothing,,Does LiDAR QC have its own POSPac dependency?,Trimble does not state one but directs configuration questions to Applanix Support,TBC 28972,Manual; Office,trajectory processing,,
V-11,vendor,open,P2,nothing,,Which report contains the signed GCP residuals added in TBC 2025.21?,The only mobile mapping report topic does not mention residuals,TBC RN 2025.21; TBC 23991_1,Manual; SOP; Office,QC,,
V-14,vendor,open,P2,nothing,,"Is the retro-reflective target check the recommended periodic verification for the MX60, and at what interval?",Trimble says regularly and defines nothing,MX60 UG Rev B p.7,Manual; SOP,calibration,,
V-16,vendor,open,P2,nothing,,When should PFIX be preferred over registration?,"This document framing of the distinction is inferred, not stated by Trimble",TBC 24460; TBC 22905,Manual; Office,degraded GNSS,,
V-17,vendor,open,P2,nothing,,"Does the coordinate system without Geoid restriction on TMX export apply to the MX60, or only the MX9?",Stated for the MX9 only,TBC 22501,Manual,export,,
V-15,vendor,open,P3,nothing,,Scanner field of view - 346 degrees (UG p.54) or 360 degrees (spec sheet p.2)?,Matters for occlusion geometry - CONFLICT-002,MX60 UG Rev B p.54; Spec sheet p.2,Manual,system,,
T31,test,open,P2,nothing,,"Does a predicted GNSS environment (almanac PDOP, canopy, urban canyon) correlate with achieved trajectory RMS on this system? Drive a route with a range of predicted conditions and compare the prediction against the RMS colouring afterwards.","No Trimble source relates predicted GNSS conditions to achieved trajectory quality for the MX60. Establishing it would turn mission planning from judgement into estimate, and would let control density be set from the prediction rather than after the fact.",No source. MX60 UG Rev B p.56 publishes performance at no outage and at 60 s outage only,Manual; SOP; Field,mission planning,,
D-56,decision,open,P2,nothing,,"Does Parametrix adopt Trimble's documented initialization sequence, closing sequence and control-bracketing design rule as mandatory Parametrix requirements?","Trimble documents these methods but does not state them as requirements - it writes 'should', 'it is advised', and 'Proposal of a checklist for system operation'. They carry TRIMBLE DOCUMENTED METHOD and 'should' until Parametrix decides. Nothing else makes them mandatory.","MX60 QSG Rev B sec 5.3 p.11, sec 5.5 p.13, sec 6 p.14; TBC 22905",SOP; Field,Field,,
V-18,vendor,open,P3,nothing,,"Is the 30-minute minimum mission time enforced by TMI, and what is the reason for it?",Trimble states it as a requirement in two places and gives no reason and no indication whether the software prevents a shorter mission. A crew that has to abandon a mission at 20 minutes needs to know whether the data is unusable or merely suboptimal.,MX60 QSG Rev B sec 5.4 p.13; sec 6 p.14,Manual; SOP,Field,,
T32,test,open,P1,nothing,,"Run the TBC Boeing Bump Index report end to end on an MX60 dataset: what inputs does the command take, what does it output, and does the vertical quality of an ordinary run support an FAA profile?","TBC ships the analysis under Mobile Mapping - Analysis - Boeing Bump Index and it is a sellable deliverable. Nobody here has run it. The open question is not whether the tool exists but whether our vertical trajectory supports the profile it computes from, which is answered by validating against pavement control, not by the nominal accuracy",TBC 29599; FAA AC 150/5380-9; nav tree capture sources/tbc-help-captures/_nav-tree-mobile-mapping.png,Manual,QC,,
T33,test,open,P2,nothing,,"Work through the six TBC mobile mapping commands this document set does not cover: Run a Batch Command, Create CAD Entities on Mobile Mapping Data, Create Orthomosaics from a Back-Camera system, Import Ortho Lane Images, Inspect Pavement Condition, and Import and Export Road Segments in AgileAssets","Every one appears in the TBC Mobile Mapping navigation tree and none is documented here. They are the downstream, product-making half of the module - the half that maps to sellable deliverables - so the set currently explains how to produce a registered point cloud and stops",sources/tbc-help-captures/_nav-tree-mobile-mapping.png,Manual,export,,
D-57,decision,open,P2,nothing,,"Is airfield pavement roughness - Boeing Bump Index and IRI - a service Parametrix intends to offer, and if so what control and validation scheme proves the vertical?","It is a real TBC capability and a strong differentiator, but an FAA-facing deliverable rests on the vertical trajectory rather than on instrument precision. The control scheme has to be agreed before collection, not after, and whether a given reviewing authority accepts a mobile-mapping-derived profile is a question to ask them",TBC 29599; FAA AC 150/5380-9,SOP,project setup,,
